Time Open,Price Open,Price High,Price Low,Price Close,Upper BB,Lower BB,Moving Average,Standard Deviation/Period
2022-02-17 08:25:00 -0500 EST,3027.560000,3035.870000,3021.700000,3025.970000,0.000000,0.000000
2022-02-17 08:26:00 -0500 EST,3025.620000,3031.950000,3023.500000,3023.500000,0.000000,0.000000
2022-02-17 08:27:00 -0500 EST,3024.570000,3031.330000,3021.090000,3025.418193,0.000000,0.000000
2022-02-17 08:28:00 -0500 EST,3026.070000,3029.360000,3023.010000,3023.827781,0.000000,0.000000
2022-02-17 08:29:00 -0500 EST,3023.720000,3024.880000,3018.920000,3020.580000,0.000000,0.000000
2022-02-17 08:30:00 -0500 EST,3020.560000,3030.100000,3019.056545,3027.360000,0.000000,0.000000
2022-02-17 08:31:00 -0500 EST,3027.750000,3032.180000,3027.100000,3030.210000,0.000000,0.000000
2022-02-17 08:32:00 -0500 EST,3030.150000,3035.190000,3028.290000,3033.710000,0.000000,0.000000
2022-02-17 08:33:00 -0500 EST,3033.260000,3033.580000,3029.000000,3032.200000,0.000000,0.000000
2022-02-17 08:34:00 -0500 EST,3033.830000,3033.830000,3029.070000,3031.840000,0.000000,0.000000
2022-02-17 08:35:00 -0500 EST,3031.220000,3032.110000,3028.880000,3029.940000,0.000000,0.000000
2022-02-17 08:36:00 -0500 EST,3029.950000,3032.030000,3028.680000,3029.880000,0.000000,0.000000
2022-02-17 08:37:00 -0500 EST,3029.660000,3037.590000,3026.900000,3036.220000,0.000000,0.000000
2022-02-17 08:38:00 -0500 EST,3036.000000,3036.400000,3033.590000,3035.000000,0.000000,0.000000
2022-02-17 08:39:00 -0500 EST,3034.850000,3037.820000,3031.670000,3032.410000,0.000000,0.000000
2022-02-17 08:40:00 -0500 EST,3032.400000,3032.580000,3022.870000,3025.100000,0.000000,0.000000
2022-02-17 08:41:00 -0500 EST,3024.240000,3027.530000,3019.530000,3021.150000,0.000000,0.000000
2022-02-17 08:42:00 -0500 EST,3020.740000,3023.040000,3020.010000,3020.980000,0.000000,0.000000
2022-02-17 08:43:00 -0500 EST,3022.070000,3022.070000,3016.270000,3016.820000,0.000000,0.000000
2022-02-17 08:44:00 -0500 EST,3017.590000,3019.420000,3011.050000,3016.710000,3038.358398,3015.524200
2022-02-17 08:45:00 -0500 EST,3016.420000,3024.300000,3013.390000,3022.500000,3038.343035,3015.192563
2022-02-17 08:46:00 -0500 EST,3022.080000,3022.180000,3008.235863,3010.050000,3039.731219,3012.459379
2022-02-17 08:47:00 -0500 EST,3010.080000,3012.580000,3004.720000,3011.090000,3040.505867,3010.251911
2022-02-17 08:48:00 -0500 EST,3011.900000,3018.513144,3010.510000,3018.449807,3040.526134,3009.693847
2022-02-17 08:49:00 -0500 EST,3017.730000,3020.590000,3010.340000,3010.670000,3041.175707,3008.053274
2022-02-17 08:50:00 -0500 EST,3010.630000,3016.930000,3010.630000,3015.810000,3040.976179,3007.097802
2022-02-17 08:51:00 -0500 EST,3015.550000,3016.590000,3011.650000,3014.550000,3040.425570,3006.082411
2022-02-17 08:52:00 -0500 EST,3014.410000,3014.750000,3007.090000,3007.990000,3039.659237,3004.276743
2022-02-17 08:53:00 -0500 EST,3008.270000,3013.130000,3001.780000,3011.840000,3038.511635,3003.388346
2022-02-17 08:54:00 -0500 EST,3011.520000,3012.390000,2989.770000,2995.420000,3039.173561,2999.084420
2022-02-17 08:55:00 -0500 EST,2995.710000,3004.800000,2989.880000,2994.560000,3039.419429,2995.300552
2022-02-17 08:56:00 -0500 EST,2995.620000,3002.200000,2993.310000,2999.730000,3038.398927,2993.306054
2022-02-17 08:57:00 -0500 EST,3000.080000,3001.220000,2987.000000,2993.290000,3036.261656,2991.150325
2022-02-17 08:58:00 -0500 EST,2993.560000,2997.530000,2992.000000,2994.540000,3033.481339,2989.884642
2022-02-17 08:59:00 -0500 EST,2994.610000,3000.100000,2991.690000,2996.100000,3030.473994,2989.260987
2022-02-17 09:00:00 -0500 EST,2996.090000,3003.160000,2988.500000,3002.400000,3028.334069,2989.130912
2022-02-17 09:01:00 -0500 EST,3002.480000,3009.860000,3001.150000,3007.102638,3026.790212,2989.270032
2022-02-17 09:02:00 -0500 EST,3007.410000,3009.000000,3002.900000,3005.760000,3025.076854,2989.461390
2022-02-17 09:03:00 -0500 EST,3005.100000,3011.630000,3005.090000,3011.260000,3024.362010,2989.620234
2022-02-17 09:04:00 -0500 EST,3011.260000,3014.790000,3008.190000,3014.730000,3024.061725,2989.722519
2022-02-17 09:05:00 -0500 EST,3014.350000,3018.510000,3011.380000,3015.880000,3022.741118,2990.381127
2022-02-17 09:06:00 -0500 EST,3016.150000,3020.590000,3010.850000,3012.980000,3023.063427,2990.351818
2022-02-17 09:07:00 -0500 EST,3012.960000,3015.100000,3005.130000,3007.060000,3022.739844,2990.272400
2022-02-17 09:08:00 -0500 EST,3007.060000,3011.540000,3002.910000,3011.540000,3021.639454,2990.681810
2022-02-17 09:09:00 -0500 EST,3011.100000,3015.210000,3007.070000,3007.940000,3021.389214,2990.659050
2022-02-17 09:10:00 -0500 EST,3007.680000,3009.650000,3004.160000,3006.890000,3020.284844,2990.871419
2022-02-17 09:11:00 -0500 EST,3006.820000,3013.000000,3001.350000,3012.520000,3019.960596,2990.992668
2022-02-17 09:12:00 -0500 EST,3012.700000,3012.700000,3002.400000,3007.600000,3019.928553,2990.985711
2022-02-17 09:13:00 -0500 EST,3008.100000,3012.020000,3007.350000,3011.570000,3019.891695,2990.995569
2022-02-17 09:14:00 -0500 EST,3011.250000,3013.000000,3006.460000,3007.840000,3019.785340,2992.343924
2022-02-17 09:15:00 -0500 EST,3007.800000,3015.310000,3006.380000,3013.130000,3019.967027,2994.019237
2022-02-17 09:16:00 -0500 EST,3013.000000,3014.190000,3008.100000,3011.410000,3020.238445,2994.915818
2022-02-17 09:17:00 -0500 EST,3010.440000,3014.220000,3009.400000,3013.500000,3019.651811,2997.523452
2022-02-17 09:18:00 -0500 EST,3012.840000,3014.800000,3010.000000,3010.000000,3018.358282,3000.362981
2022-02-17 09:19:00 -0500 EST,3009.660000,3011.010000,3006.800000,3007.340000,3016.656283,3003.188981
2022-02-17 09:20:00 -0500 EST,3007.410000,3008.531412,2999.360000,3000.590000,3017.002272,3002.661992
2022-02-17 09:21:00 -0500 EST,3000.490000,3004.800000,2998.680000,2999.210000,3017.914756,3000.960244
2022-02-17 09:22:00 -0500 EST,2999.810000,3002.410000,2997.190000,3001.450272,3018.262616,3000.181411
2022-02-17 09:23:00 -0500 EST,2999.720000,3002.570000,2999.480000,2999.980000,3018.492260,2998.823767
2022-02-17 09:24:00 -0500 EST,2999.890000,3003.200000,2998.370000,3001.570000,3017.882054,2998.117973
2022-02-17 08:26:00 -0500 EST,3025.620000,3031.950000,3023.500000,3023.500000,3019.900786,2996.861241
2022-02-17 08:27:00 -0500 EST,3024.570000,3031.330000,3021.090000,3025.418193,3022.603697,2995.402150
2022-02-17 08:28:00 -0500 EST,3026.070000,3029.360000,3023.010000,3023.827781,3024.853632,2994.828993
2022-02-17 08:29:00 -0500 EST,3023.720000,3024.880000,3018.920000,3020.580000,3026.010796,2994.575828
2022-02-17 08:30:00 -0500 EST,3020.560000,3030.100000,3019.056545,3027.360000,3028.596787,2993.931837
2022-02-17 08:31:00 -0500 EST,3027.750000,3032.180000,3027.100000,3030.210000,3031.481227,2993.379397
2022-02-17 08:32:00 -0500 EST,3030.150000,3035.190000,3028.290000,3033.710000,3034.679683,2992.299942
2022-02-17 08:33:00 -0500 EST,3033.260000,3033.580000,3029.000000,3032.200000,3037.215040,2992.224585
2022-02-17 08:34:00 -0500 EST,3033.830000,3033.830000,3029.070000,3031.840000,3039.367238,2992.099387
2022-02-17 08:35:00 -0500 EST,3031.220000,3032.110000,3028.880000,3029.940000,3040.954354,2992.722271
2022-02-17 08:36:00 -0500 EST,3029.950000,3032.030000,3028.680000,3029.880000,3042.374894,2992.976731
2022-02-17 08:37:00 -0500 EST,3029.660000,3037.590000,3026.900000,3036.220000,3044.700311,2993.132314
2022-02-17 08:38:00 -0500 EST,3036.000000,3036.400000,3033.590000,3035.000000,3046.563135,2993.419489
2022-02-17 08:39:00 -0500 EST,3034.850000,3037.820000,3031.670000,3032.410000,3047.793626,2994.429998
2022-02-17 08:40:00 -0500 EST,3032.400000,3032.580000,3022.870000,3025.100000,3047.961584,2996.038041
2022-02-17 08:41:00 -0500 EST,3024.240000,3027.530000,3019.530000,3021.150000,3047.074743,2998.980882
2022-02-17 08:42:00 -0500 EST,3020.740000,3023.040000,3020.010000,3020.980000,3045.584815,3002.647809
2022-02-17 08:43:00 -0500 EST,3022.070000,3022.070000,3016.270000,3016.820000,3044.027204,3005.742393
2022-02-17 08:44:00 -0500 EST,3017.590000,3019.420000,3011.050000,3016.710000,3041.625651,3009.816946
2022-02-17 08:45:00 -0500 EST,3016.420000,3024.300000,3013.390000,3022.500000,3038.343035,3015.192563
2022-02-17 08:46:00 -0500 EST,3022.080000,3022.180000,3008.235863,3010.050000,3039.731219,3012.459379
2022-02-17 08:47:00 -0500 EST,3010.080000,3012.580000,3004.720000,3011.090000,3040.505867,3010.251911
2022-02-17 08:48:00 -0500 EST,3011.900000,3018.513144,3010.510000,3018.449807,3040.526134,3009.693847
2022-02-17 08:49:00 -0500 EST,3017.730000,3020.590000,3010.340000,3010.670000,3041.175707,3008.053274
2022-02-17 08:50:00 -0500 EST,3010.630000,3016.930000,3010.630000,3015.810000,3040.976179,3007.097802
2022-02-17 08:51:00 -0500 EST,3015.550000,3016.590000,3011.650000,3014.550000,3040.425570,3006.082411
2022-02-17 08:52:00 -0500 EST,3014.410000,3014.750000,3007.090000,3007.990000,3039.659237,3004.276743
2022-02-17 08:53:00 -0500 EST,3008.270000,3013.130000,3001.780000,3011.840000,3038.511635,3003.388346
2022-02-17 08:54:00 -0500 EST,3011.520000,3012.390000,2989.770000,2995.420000,3039.173561,2999.084420
2022-02-17 08:55:00 -0500 EST,2995.710000,3004.800000,2989.880000,2994.560000,3039.419429,2995.300552
2022-02-17 08:56:00 -0500 EST,2995.620000,3002.200000,2993.310000,2999.730000,3038.398927,2993.306054
2022-02-17 08:57:00 -0500 EST,3000.080000,3001.220000,2987.000000,2993.290000,3036.261656,2991.150325
2022-02-17 08:58:00 -0500 EST,2993.560000,2997.530000,2992.000000,2994.540000,3033.481339,2989.884642
2022-02-17 08:59:00 -0500 EST,2994.610000,3000.100000,2991.690000,2996.100000,3030.473994,2989.260987
2022-02-17 09:00:00 -0500 EST,2996.090000,3003.160000,2988.500000,3002.400000,3028.334069,2989.130912
2022-02-17 09:01:00 -0500 EST,3002.480000,3009.860000,3001.150000,3007.102638,3026.790212,2989.270032
2022-02-17 09:02:00 -0500 EST,3007.410000,3009.000000,3002.900000,3005.760000,3025.076854,2989.461390
2022-02-17 09:03:00 -0500 EST,3005.100000,3011.630000,3005.090000,3011.260000,3024.362010,2989.620234
2022-02-17 09:04:00 -0500 EST,3011.260000,3014.790000,3008.190000,3014.730000,3024.061725,2989.722519
2022-02-17 09:05:00 -0500 EST,3014.350000,3018.510000,3011.380000,3015.880000,3022.741118,2990.381127
2022-02-17 09:06:00 -0500 EST,3016.150000,3020.590000,3010.850000,3012.980000,3023.063427,2990.351818
2022-02-17 09:07:00 -0500 EST,3012.960000,3015.100000,3005.130000,3007.060000,3022.739844,2990.272400
2022-02-17 09:08:00 -0500 EST,3007.060000,3011.540000,3002.910000,3011.540000,3021.639454,2990.681810
2022-02-17 09:09:00 -0500 EST,3011.100000,3015.210000,3007.070000,3007.940000,3021.389214,2990.659050
2022-02-17 09:10:00 -0500 EST,3007.680000,3009.650000,3004.160000,3006.890000,3020.284844,2990.871419
2022-02-17 09:11:00 -0500 EST,3006.820000,3013.000000,3001.350000,3012.520000,3019.960596,2990.992668
2022-02-17 09:12:00 -0500 EST,3012.700000,3012.700000,3002.400000,3007.600000,3019.928553,2990.985711
2022-02-17 09:13:00 -0500 EST,3008.100000,3012.020000,3007.350000,3011.570000,3019.891695,2990.995569
2022-02-17 09:14:00 -0500 EST,3011.250000,3013.000000,3006.460000,3007.840000,3019.785340,2992.343924
2022-02-17 09:15:00 -0500 EST,3007.800000,3015.310000,3006.380000,3013.130000,3019.967027,2994.019237
2022-02-17 09:16:00 -0500 EST,3013.000000,3014.190000,3008.100000,3011.410000,3020.238445,2994.915818
2022-02-17 09:17:00 -0500 EST,3010.440000,3014.220000,3009.400000,3013.500000,3019.651811,2997.523452
2022-02-17 09:18:00 -0500 EST,3012.840000,3014.800000,3010.000000,3010.000000,3018.358282,3000.362981
2022-02-17 09:19:00 -0500 EST,3009.660000,3011.010000,3006.800000,3007.340000,3016.656283,3003.188981
2022-02-17 09:20:00 -0500 EST,3007.410000,3008.531412,2999.360000,3000.590000,3017.002272,3002.661992
2022-02-17 09:21:00 -0500 EST,3000.490000,3004.800000,2998.680000,2999.210000,3017.914756,3000.960244
2022-02-17 09:22:00 -0500 EST,2999.810000,3002.410000,2997.190000,3001.450272,3018.262616,3000.181411
2022-02-17 09:23:00 -0500 EST,2999.720000,3002.570000,2999.480000,2999.980000,3018.492260,2998.823767
2022-02-17 09:24:00 -0500 EST,2999.890000,3003.200000,2998.370000,3001.570000,3017.882054,2998.117973
2022-02-17 09:25:00 -0500 EST,3001.550000,3002.810000,2997.540000,2998.880000,3017.098924,2997.201103
